Wavelength (micron),fresh,1 pulse,5 pulses
2.995166101,-0.003263545,-0.003696007,-0.003543392
2.994733761,-0.003298828,-0.003744574,-0.003567003
2.994301545,-0.003338058,-0.003795659,-0.003590509
2.993868557,-0.00338061,-0.003845173,-0.003616839
2.993436591,-0.00342554,-0.003887943,-0.003646131
2.993004749,-0.003472115,-0.003919344,-0.003675665
2.992573032,-0.0035203,-0.003935524,-0.003700026
2.99214144,-0.003570354,-0.003935274,-0.003712779
2.991709972,-0.003622681,-0.003920338,-0.003709258
2.991278628,-0.003676703,-0.003895819,-0.003688556
2.990847409,-0.003730199,-0.003869331,-0.003655009
2.99041542,-0.003779496,-0.0038494,-0.003617794
2.989984449,-0.003819185,-0.003843137,-0.003588662
2.989553603,-0.003844546,-0.003854832,-0.003578345
2.989122881,-0.003851785,-0.003884238,-0.003593348
2.988692283,-0.003840096,-0.003927153,-0.003633514
2.988261809,-0.003811664,-0.003976574,-0.00369215
2.987831459,-0.003771411,-0.004025872,-0.00375826
2.98740034,-0.00372591,-0.00407036,-0.003820091
2.986970238,-0.003682439,-0.004109546,-0.003869104
2.98654026,-0.003647155,-0.004147132,-0.003902159
2.986110406,-0.003624974,-0.004189041,-0.003921944
2.985680675,-0.003618232,-0.00424104,-0.003935248
2.985251069,-0.003627297,-0.004305864,-0.003949917
2.984821585,-0.003649973,-0.004380959,-0.003971831
2.984392226,-0.003682841,-0.004458522,-0.004003273
2.983962099,-0.003721867,-0.004527138,-0.004042664
2.983532986,-0.003763542,-0.004575212,-0.004085761
2.983103997,-0.003806047,-0.004594204,-0.004127734
2.982675131,-0.00384941,-0.004581536,-0.004164318
2.982246389,-0.003895039,-0.0045417,-0.004192913
2.98181777,-0.003944463,-0.0044851,-0.004212423
2.981389274,-0.00399775,-0.004425477,-0.004222662
2.980960901,-0.004052437,-0.004376714,-0.004224338
2.980532651,-0.004103465,-0.004349673,-0.0042188
2.980103636,-0.004144584,-0.004350336,-0.004208982
2.979675633,-0.004170773,-0.004378856,-0.004198956
2.979247752,-0.004180093,-0.004430815,-0.004193984
2.978819994,-0.004175315,-0.004498106,-0.004198765
2.978392359,-0.00416298,-0.004571233,-0.004216072
2.977964847,-0.004151354,-0.004640737,-0.004245294
2.977537457,-0.004147162,-0.004698722,-0.004282005
2.977110191,-0.00415325,-0.004739813,-0.004319536
2.97668216,-0.004167772,-0.004761998,-0.004350858
2.976255139,-0.004185279,-0.004766492,-0.004371286
2.97582824,-0.004199736,-0.004757658,-0.004380126
2.975401463,-0.004207093,-0.004741937,-0.004380537
2.974974809,-0.004207273,-0.004726462,-0.004378142
2.974548278,-0.004204605,-0.004717496,-0.004378711
2.974121868,-0.004205243,-0.00471889,-0.004385682
2.973694697,-0.004214624,-0.00473146,-0.00439958
2.973268532,-0.004235361,-0.004753154,-0.004418305
2.972842489,-0.004266083,-0.004779851,-0.004438925
2.972416569,-0.004302416,-0.00480726,-0.004459486
2.97199077,-0.004339471,-0.004831555,-0.004480284
2.971565094,-0.004373738,-0.00485115,-0.004503636
2.971139539,-0.004404974,-0.004866216,-0.004532221
2.970714106,-0.004435386,-0.004878954,-0.004567798
2.970287913,-0.004468702,-0.004892287,-0.004609784
2.969862724,-0.004508315,-0.004909576,-0.004655109
2.969437657,-0.004555401,-0.004933499,-0.004699744
2.969012711,-0.004609019,-0.004965791,-0.004740325
2.968587887,-0.004666452,-0.005006954,-0.004775482
